Specimen,Group,P4_Length
CMNFV 17311,Pleistocene-Yukon,24.27
CMNFV 17377,Pleistocene-Yukon,24.45
CMNFV 19476,Pleistocene-Yukon,25.86
CMNFV 24939,Pleistocene-Yukon,23.41
CMNFV 2955,Pleistocene-Yukon,25.21
CMNFV 43051,Pleistocene-Yukon,23.45
CMNFV 45574,Pleistocene-Yukon,25.32
CMNFV 48450,Pleistocene-Yukon,26.64
CMNFV 9929,Pleistocene-Yukon,28
CMNMA 15445,Recent,25.635
CMNMA 16942,Recent,26.12
CMNMA 16943,Recent,27.85
CMNMA 16944,Recent,26.82
CMNMA 16946,Recent,25.96
CMNMA 16947,Recent,26.71
CMNMA 17011,Recent,25.44
CMNMA 17098,Recent,27.875
CMNMA 17099,Recent,26.62
CMNMA 17148,Recent,27.02
CMNMA 17158,Recent,26.35
CMNMA 17309,Recent,27.45
CMNMA 17311,Recent,25.82
CMNMA 17312,Recent,27.9
CMNMA 17313,Recent,27.02
CMNMA 18161,Recent,26.655
CMNMA 18162,Recent,26.94
CMNMA 18163,Recent,25.515
CMNMA 18164,Recent,25.135
CMNMA 18165,Recent,25.375
CMNMA 18166,Recent,27.38
CMNMA 18167,Recent,27.53
CMNMA 18168,Recent,26.975
CMNMA 18254,Recent,25.63
CMNMA 19176,Recent,26.98
CMNMA 19565,Recent,27.17
CMNMA 19566,Recent,28.07
CMNMA 19567,Recent,26.43
CMNMA 19568,Recent,26.96
CMNMA 19569,Recent,24.2
CMNMA 19570,Recent,27.61
CMNMA 19580,Recent,26.68
CMNMA 19582,Recent,27.78
CMNMA 19583,Recent,26.11
CMNMA 19584,Recent,26.41
CMNMA 19585,Recent,26.23
CMNMA 20316,Recent,25.26
CMNMA 20317,Recent,27.74
CMNMA 20319,Recent,25.185
CMNMA 20320,Recent,27.97
CMNMA 20673,Recent,24.31
CMNMA 21100,Recent,26.75
CMNMA 21454,Recent,27.16
CMNMA 21458,Recent,27.27
CMNMA 21465,Recent,24.25
CMNMA 21472,Recent,27.1
CMNMA 21519,Recent,27.5
CMNMA 21520,Recent,27.34
CMNMA 21521,Recent,28.88
CMNMA 21522,Recent,27.91
CMNMA 21523,Recent,29.27
CMNMA 21528,Recent,27.61
CMNMA 21530,Recent,28.09
CMNMA 21538,Recent,27.18
CMNMA 21539,Recent,24.64
CMNMA 21540,Recent,24.5
CMNMA 21541,Recent,26.12
CMNMA 21542,Recent,27.16
CMNMA 21543,Recent,25.07
CMNMA 21564,Recent,26.225
CMNMA 21566,Recent,27.55
CMNMA 21567,Recent,26.11
CMNMA 21604,Recent,26.97
CMNMA 21731,Recent,27.02
CMNMA 21732,Recent,26.18
CMNMA 21733,Recent,26.33
CMNMA 22024,Recent,26.39
CMNMA 22025,Recent,30.22
CMNMA 25840,Recent,26.44
CMNMA 25841,Recent,27.32
CMNMA 25844,Recent,25.9
CMNMA 26316,Recent,27.39
CMNMA 26317,Recent,25.06
CMNMA 27827,Recent,26.08
CMNMA 2789,Recent,27.42
CMNMA 29074,Recent,24.62
CMNMA 29075,Recent,24.35
CMNMA 29204,Recent,25.15
CMNMA 29206,Recent,26.64
CMNMA 29207,Recent,26.99
CMNMA 29828,Recent-Yukon,25.73
CMNMA 30044,Recent,21.43
CMNMA 30045,Recent,24.11
CMNMA 30053,Recent,24.175
CMNMA 30054,Recent,25.28
CMNMA 30055,Recent,27.57
CMNMA 30056,Recent,22.53
CMNMA 30923,Recent,25.18
CMNMA 30924,Recent,24.58
CMNMA 30925,Recent,25.53
CMNMA 312162,Recent,26.87
