Specimen,Group,P4_width
CMNFV 17311,Pleistocene-Yukon,10.5
CMNFV 17377,Pleistocene-Yukon,11.7
CMNFV 19476,Pleistocene-Yukon,10.6
CMNFV 24939,Pleistocene-Yukon,9.1
CMNFV 45574,Pleistocene-Yukon,10.9
CMNFV 48450,Pleistocene-Yukon,10.1
CMNFV 9929,Pleistocene-Yukon,10.1
CMNMA  52796,Recent,11.17
CMNMA 15445,Recent,9.8
CMNMA 16942,Recent,10.47
CMNMA 16943,Recent,10.85
CMNMA 16944,Recent,10.29
CMNMA 16946,Recent,10.29
CMNMA 16947,Recent,10.04
CMNMA 17011,Recent,9.97
CMNMA 17098,Recent,12.17
CMNMA 17099,Recent,10.22
CMNMA 17148,Recent,11.39
CMNMA 17158,Recent,10.53
CMNMA 17309,Recent,10.94
CMNMA 17311,Recent,9.3
CMNMA 17312,Recent,11.18
CMNMA 17313,Recent,11.08
CMNMA 18161,Recent,11.15
CMNMA 18162,Recent,11.58
CMNMA 18163,Recent,10.34
CMNMA 18164,Recent,10.35
CMNMA 18165,Recent,10.07
CMNMA 18166,Recent,10.99
CMNMA 18167,Recent,11.63
CMNMA 18168,Recent,10.95
CMNMA 18254,Recent,10.3
CMNMA 19176,Recent,10.92
CMNMA 19565,Recent,10.42
CMNMA 19566,Recent,10.14
CMNMA 19567,Recent,10.31
CMNMA 19568,Recent,10.54
CMNMA 19569,Recent,9.24
CMNMA 19570,Recent,11.51
CMNMA 19580,Recent,10.84
CMNMA 19582,Recent,11.46
CMNMA 19583,Recent,10.24
CMNMA 19584,Recent,11.96
CMNMA 19585,Recent,11.83
CMNMA 20316,Recent,10.85
CMNMA 20317,Recent,9.81
CMNMA 20319,Recent,10.06
CMNMA 20320,Recent,11.97
CMNMA 20673,Recent,9.6
CMNMA 21100,Recent,10.53
CMNMA 21454,Recent,10.91
CMNMA 21458,Recent,11.2
CMNMA 21465,Recent,9.83
CMNMA 21472,Recent,10.94
CMNMA 21519,Recent,10.5
CMNMA 21520,Recent,10.64
CMNMA 21521,Recent,11.37
CMNMA 21522,Recent,10.75
CMNMA 21523,Recent,10.87
CMNMA 21528,Recent,9.8
CMNMA 21530,Recent,10.8
CMNMA 21538,Recent,10.78
CMNMA 21539,Recent,9.56
CMNMA 21540,Recent,9.81
CMNMA 21541,Recent,9.31
CMNMA 21542,Recent,12.36
CMNMA 21543,Recent,9.97
CMNMA 21564,Recent,10.57
CMNMA 21566,Recent,10.34
CMNMA 21567,Recent,11.38
CMNMA 21604,Recent,10.57
CMNMA 21731,Recent,10.43
CMNMA 21733,Recent,10.35
CMNMA 22024,Recent,10.19
CMNMA 22025,Recent,11.76
CMNMA 25840,Recent,10.42
CMNMA 25841,Recent,10.08
CMNMA 25844,Recent,9.63
CMNMA 26316,Recent,11.41
CMNMA 26317,Recent,9.58
CMNMA 27827,Recent,9.99
CMNMA 2789,Recent,10.84
CMNMA 29074,Recent,10.25
CMNMA 29075,Recent,9.33
CMNMA 29204,Recent,9.7
CMNMA 29206,Recent,10.52
CMNMA 29207,Recent,11.38
CMNMA 29828,Recent-Yukon,10.73
CMNMA 30044,Recent,8.64
CMNMA 30045,Recent,10.04
CMNMA 30053,Recent,9.56
CMNMA 30054,Recent,9.88
