Specimen,Group,m1_length,Body_mass
USF No Num.2,Pleistocene-Europe,20.9,30.26732781
MPA3,Pleistocene-Europe,21.6,31.47748052
No Num.(1),Pleistocene-Europe,21.7,31.6509743
IN634,Pleistocene-Europe,22.2,32.52071157
IN634,Pleistocene-Europe,22.7,33.39417895
V3080/1,Pleistocene-Europe,23,33.92002197
CMNFV 28866,Pleistocene-Yukon,23.4,34.62317336
P3589,Pleistocene-Europe,23.7,35.15203984
P3590,Pleistocene-Europe,23.7,35.15203984
CMNFV 48020,Pleistocene-Yukon,23.9,35.5053258
MPE2,Pleistocene-Europe,24,35.68217983
P3591,Pleistocene-Europe,24,35.68217983
P3592,Pleistocene-Europe,24,35.68217983
321,Pleistocene-Europe,24.7,36.92405374
PM 3596_3,Pleistocene-Europe,24.7,36.92405374
SS9,Pleistocene-Europe,24.7,36.92405374
A426,Pleistocene-Europe,25,37.45834716
IN509,Pleistocene-Europe,25,37.45834716
IN511,Pleistocene-Europe,25,37.45834716
322,Pleistocene-Europe,25.1,37.63671657
A396-398,Pleistocene-Europe,25.1,37.63671657
IN5095,Pleistocene-Europe,25.2,37.81522106
IN635,Pleistocene-Europe,25.2,37.81522106
Q1169,Pleistocene-Europe,25.2,37.81522106
F:AM 97079,Pleistocene-Alaska,25.46666667,38.29189009
IN635,Pleistocene-Europe,25.5,38.35154062
MPD4,Pleistocene-Europe,25.5,38.35154062
W.N.,Pleistocene-Europe,25.6,38.53058109
MGP 26643,Pleistocene-Europe,25.8,38.88906038
MPC1,Pleistocene-Europe,25.8,38.88906038
CMNMA 30044,Recent,25.82,38.92493743
CMNMA 54023,Recent,25.86,38.99670736
A65-A67,Pleistocene-Europe,26,39.24806807
A8C3,Pleistocene-Europe,26,39.24806807
CMNFV 28862,Pleistocene-Yukon,26,39.24806807
MPD9,Pleistocene-Europe,26,39.24806807
W.N.,Pleistocene-Europe,26.2,39.60760085
A79301,Pleistocene-Europe,26.3,39.78756313
PNALM 112,Pleistocene-Europe,26.3,39.78756313
USS 877,Pleistocene-Europe,26.3,39.78756313
A721,Pleistocene-Europe,26.4,39.96765547
Ave8-5,Pleistocene-Europe,26.4,39.96765547
MGP 26630,Pleistocene-Europe,26.4,39.96765547
FSL 300444,Pleistocene-Europe,26.5,40.14787747
Q1150,Pleistocene-Europe,26.5,40.14787747
Q1137,Pleistocene-Europe,26.6,40.32822873
CMNMA 53990,Recent,26.66,40.43650136
CMNMA 54401,Recent,26.74,40.5809369
56 (a),Pleistocene-Europe,26.8,40.68931746
A6-20,Pleistocene-Europe,26.8,40.68931746
CMNFV 48704,Pleistocene-Yukon,26.9,40.87005416
Q1133,Pleistocene-Europe,26.9,40.87005416
CMNMA 19569,Recent,26.93,40.92430009
Ave8-12,Pleistocene-Europe,27,41.05091856
GSA2,Pleistocene-Europe,27,41.05091856
IN641,Pleistocene-Europe,27,41.05091856
Q1139,Pleistocene-Europe,27,41.05091856
CMNMA 30924,Recent-Yukon,27.05,41.14139852
CMNMA 54749,Recent,27.05,41.14139852
CMNMA 54404,Recent,27.06,41.15949833
A68,Pleistocene-Europe,27.1,41.23191028
IN508,Pleistocene-Europe,27.1,41.23191028
PNALM 125,Pleistocene-Europe,27.1,41.23191028
F:AM 70958,Pleistocene-Alaska,27.13333333,41.29226907
PNALM 113,Pleistocene-Europe,27.2,41.41302893
CMNMA 52793,Recent,27.21,41.43114777
CMNMA 54434,Recent,27.24,41.48551186
CMNMA 54649,Recent,27.25,41.50363575
Ave8-3,Pleistocene-Europe,27.3,41.59427415
GRAL518,Pleistocene-Europe,27.3,41.59427415
MGP 26625,Pleistocene-Europe,27.3,41.59427415
No Num.(2),Pleistocene-Europe,27.3,41.59427415
CMNMA 54402,Recent,27.32,41.63053835
A365,Pleistocene-Europe,27.4,41.77564556
A438,Pleistocene-Europe,27.4,41.77564556
CMNFV 48705,Pleistocene-Yukon,27.4,41.77564556
PNALM 221,Pleistocene-Europe,27.4,41.77564556
Q1136,Pleistocene-Europe,27.4,41.77564556
CMNMA 54021,Recent,27.43,41.83008153
CMNMA 54648,Recent,27.46,41.88452881
Ave8-1,Pleistocene-Europe,27.5,41.95714277
CMNFV 35964,Pleistocene-Yukon,27.5,41.95714277
CMNFV 45573,Pleistocene-Yukon,27.5,41.95714277
CMNMA 30923,Recent-Yukon,27.5,
GSA1,Pleistocene-Europe,27.5,41.95714277
GSA5,Pleistocene-Europe,27.5,41.95714277
Q1145,Pleistocene-Europe,27.5,41.95714277
CMNMA 33456,Recent-Yukon,27.55,
CMNMA 54290,Recent,27.55,42.04793845
CMNMA 29075,Recent,27.59,42.12059753
CMNMA 21539,Recent,27.6,42.13876543
FSL 300473,Pleistocene-Europe,27.6,42.13876543
PNALM 123,Pleistocene-Europe,27.6,42.13876543
Q1129,Pleistocene-Europe,27.6,42.13876543
CMNMA 54586,Recent,27.62,42.17510499
CMNMA 54665,Recent,27.7,42.32051317
MGP 26626,Pleistocene-Europe,27.7,42.32051317
MGP 26628,Pleistocene-Europe,27.7,42.32051317
CMNMA 20673,Recent,27.75,42.41143382
CMNMA 51176,Recent,27.79,42.48419276
A235,Pleistocene-Europe,27.8,42.50238561
A83434,Pleistocene-Europe,27.8,42.50238561
