Specimen,Group,m1_width
CMNFV 25228,Pleistocene-Yukon,12.9
CMNFV 25954,Pleistocene-Yukon,12.3
CMNFV 28862,Pleistocene-Yukon,9.9
CMNFV 28866,Pleistocene-Yukon,10.1
CMNFV 35964,Pleistocene-Yukon,11.2
CMNFV 45573,Pleistocene-Yukon,11.4
CMNFV 45574,Pleistocene-Yukon,11.1
CMNFV 48020,Pleistocene-Yukon,9.9
CMNFV 48432,Pleistocene-Yukon,11.7
CMNFV 48614,Pleistocene-Yukon,11.4
CMNFV 48704,Pleistocene-Yukon,11
CMNFV 48705,Pleistocene-Yukon,11.4
CMNMA 15445,Recent,11.05
CMNMA 16942,Recent,11.29
CMNMA 16943,Recent,11.51
CMNMA 16946,Recent,10.77
CMNMA 17011,Recent,10.64
CMNMA 17098,Recent,11.82
CMNMA 17099,Recent,10.52
CMNMA 17148,Recent,11.36
CMNMA 17158,Recent,11.44
CMNMA 17309,Recent,11.52
CMNMA 17311,Recent,10.65
CMNMA 17312,Recent,11.55
CMNMA 17313,Recent,11.69
CMNMA 18161,Recent,11.2
CMNMA 18162,Recent,12.13
CMNMA 18163,Recent,10.52
CMNMA 18164,Recent,10.6
CMNMA 18165,Recent,10.71
CMNMA 18166,Recent,11.6
CMNMA 18167,Recent,12.42
CMNMA 18168,Recent,11.13
CMNMA 18254,Recent,11.67
CMNMA 19176,Recent,11.76
CMNMA 19565,Recent,11.12
CMNMA 19566,Recent,11.18
CMNMA 19567,Recent,11.26
CMNMA 19568,Recent,11.72
CMNMA 19569,Recent,10.01
CMNMA 19570,Recent,11.8
CMNMA 19580,Recent,11.72
CMNMA 19582,Recent,12.14
CMNMA 19583,Recent,10.75
CMNMA 19584,Recent,12.12
CMNMA 19585,Recent,11.59
CMNMA 20316,Recent,10.83
CMNMA 20317,Recent,11.24
CMNMA 20319,Recent,10.97
CMNMA 20320,Recent,12.82
CMNMA 20673,Recent,9.88
CMNMA 21100,Recent,11.84
CMNMA 21454,Recent,12.24
CMNMA 21458,Recent,12.06
CMNMA 21465,Recent,11.12
CMNMA 21472,Recent,12.01
CMNMA 21519,Recent,13.23
CMNMA 21520,Recent,11.69
CMNMA 21521,Recent,12.5
CMNMA 21522,Recent,11.65
CMNMA 21523,Recent,12.23
CMNMA 21528,Recent,11.28
CMNMA 21530,Recent,12.58
CMNMA 21538,Recent,11.44
CMNMA 21539,Recent,10.65
CMNMA 21540,Recent,10.77
CMNMA 21541,Recent,10.59
CMNMA 21542,Recent,12.64
CMNMA 21543,Recent,10.78
CMNMA 21564,Recent,11.93
CMNMA 21566,Recent,11.67
CMNMA 21604,Recent,12.32
CMNMA 21731,Recent,11.3
CMNMA 21732,Recent,11.21
CMNMA 21733,Recent,12.09
CMNMA 22024,Recent,11.88
CMNMA 22025,Recent,13.09
CMNMA 25840,Recent,10.64
CMNMA 25841,Recent,11.13
CMNMA 25844,Recent,10.2
CMNMA 26316,Recent,12.05
CMNMA 27827,Recent,10.77
CMNMA 29074,Recent,10.94
CMNMA 29075,Recent,9.99
CMNMA 29204,Recent,10.45
CMNMA 29206,Recent,11.12
CMNMA 29207,Recent,11.34
CMNMA 29828,Recent-Yukon,12.05
CMNMA 30044,Recent,9.56
CMNMA 30053,Recent,10.6
CMNMA 30923,Recent-Yukon,10.54
CMNMA 30924,Recent-Yukon,10.35
CMNMA 30925,Recent-Yukon,11.14
CMNMA 312162,Recent,12.11
CMNMA 312163,Recent,11.24
CMNMA 312241,Recent,11.25
CMNMA 31751,Recent-Yukon,12.85
CMNMA 31758,Recent-Yukon,11.97
CMNMA 31759,Recent-Yukon,12
CMNMA 31760,Recent-Yukon,11.62
CMNMA 333241,Recent,11.04
CMNMA 33453,Recent-Yukon,13.06
CMNMA 33454,Recent-Yukon,13.29
CMNMA 33455,Recent-Yukon,12.38
CMNMA 33456,Recent-Yukon,12.09
CMNMA 33457,Recent-Yukon,11.76
CMNMA 339202,Recent,10.84
CMNMA 339208,Recent,11.2
CMNMA 34690,Recent-Yukon,11.75
CMNMA 34691,Recent-Yukon,11.73
CMNMA 35165,Recent,10.69
CMNMA 35217,Recent,11.32
CMNMA 36162,Recent-Yukon,11.68
CMNMA 39769,Recent-Yukon,12.74
CMNMA 39770,Recent-Yukon,12.94
CMNMA 46736,Recent,11.05
CMNMA 46737,Recent,11.46
CMNMA 51175,Recent,11.36
CMNMA 51176,Recent,12.08
CMNMA 51177,Recent,11.37
CMNMA 51178,Recent,10.88
CMNMA 52705,Recent,12.33
CMNMA 52713,Recent,11.7
CMNMA 52762,Recent,11.56
